"Credit.Rating","Account.Balance","Credit.Duration.Months","Previous.Credit.Payment.Status","Credit.Purpose","Credit.Amount","Savings","Employment.Duration","Installment.Rate","Marital.Status","Guarantor","Residence.Duration","Current.Assets","Age","Other.Credits","Apartment.Type","Bank.Credits","Occupation","Dependents","Telephone","Foreign.Worker"
"1","1",-0.240736766567997,"3","2",-0.787262993357287,"1","1","4","1","1","4","2",-1.28093213590331,"2","1","1","3","1","1","1"
"1","1",-0.987078791752969,"3","4",-0.167300577652446,"1","2","2","2","1","2","1",0.0403429320756234,"2","1","2","3","2","1","1"
"1","2",-0.738298116691312,"2","4",-0.860949954766777,"2","3","2","1","1","4","1",-1.10476212683945,"2","1","1","2","1","1","1"
"1","1",-0.738298116691312,"3","4",-0.407137466470833,"1","2","3","2","1","2","1",0.30459794567141,"2","1","2","2","2","1","2"
"1","1",-0.738298116691312,"3","4",-0.389778518831097,"1","2","4","2","1","4","2",0.216512941139481,"1","2","2","2","1","1","2"
"1","1",-0.90415190006575,"3","4",-0.364980022202904,"1","1","1","2","1","3","1",1.09736298645877,"2","1","2","2","2","1","2"
"1","1",-1.07000568344019,"3","4",0.0449037006373829,"1","3","1","2","1","4","1",0.30459794567141,"2","2","2","2","1","1","2"
"1","1",-1.23585946681463,"3","4",-0.676732551243053,"1","1","2","2","1","4","1",0.392682950203339,"2","2","1","2","2","1","2"
"1","3",-0.240736766567997,"3","3",-0.769904045717552,"1","1","4","1","1","4","3",2.59480806350156,"2","2","2","1","1","1","1"
"1","2",0.256824583555318,"2","3",0.172438826153807,"3","1","1","1","1","4","4",-1.10476212683945,"2","1","1","1","1","1","1"
"1","1",-0.821225008378531,"3","4",0.224515669073014,"1","2","2","2","1","2","1",0.0403429320756234,"2","1","2","3","2","1","1"
"1","1",0.754385933678632,"3","1",1.03294665915213,"2","3","1","3","1","4","3",-1.01667712230752,"2","1","2","3","1","1","1"
"1","1",-1.23585946681463,"3","3",-0.465591065665861,"1","3","1","1","1","4","3",-0.400082090584021,"2","2","1","3","1","1","1"
"1","2",2.24706998404858,"3","4",1.52714527052827,"2","1","2","2","1","4","4",-0.400082090584021,"2","2","1","4","1","2","1"
"1","1",-0.240736766567997,"2","3",-0.473030614654319,"4","3","2","3","1","4","3",-1.10476212683945,"2","1","2","2","1","1","1"
"1","1",-1.23585946681463,"2","3",-0.22114874175938,"3","2","2","2","1","3","1",0.745022968331054,"2","1","1","3","2","1","1"
"1","1",-0.821225008378531,"3","4",0.236560653149565,"1","2","1","2","1","2","1",0.392682950203339,"2","2","2","2","2","1","1"
"1","2",-0.240736766567997,"2","3",-0.0206351833085575,"3","1","1","3","1","3","1",-0.928592117775594,"2","1","1","3","1","1","1"
"1","2",1.25194728380195,"3","3",-0.330970655398524,"1","4","4","2","1","4","1",0.0403429320756234,"2","2","1","3","1","1","1"
"1","3",-0.821225008378531,"3","4",1.40173573043712,"1","2","1","2","1","4","2",0.30459794567141,"2","2","2","2","1","1","1"
"1","1",-1.23585946681463,"3","4",0.143389158675066,"1","2","1","2","1","3","1",0.128427936607552,"2","1","2","3","2","1","1"
"1","2",-0.738298116691312,"3","4",-0.052164700450118,"1","1","1","2","1","3","1",1.1854479909907,"1","2","2","2","2","1","1"
"0","2",1.25194728380195,"2","3",-0.31432023623388,"1","1","4","2","1","1","4",-0.223912081520163,"2","1","1","2","1","1","1"
"1","2",-0.738298116691312,"3","3",-0.654413904277678,"1","3","4","2","1","3","2",-0.840507113243665,"2","2","1","3","1","1","1"
"1","1",-1.23585946681463,"3","4",0.511823965722515,"4","1","1","2","1","3","1",0.745022968331054,"2","2","2","2","2","1","1"
"1","2",-0.821225008378531,"3","3",0.531308498787524,"1","3","2","2","1","4","2",1.36161800005456,"2","2","1","3","1","1","1"
"1","1",-0.738298116691312,"2","2",-0.9279058956629,"1","4","4","1","1","4","2",-1.01667712230752,"2","1","1","3","1","1","1"
"1","2",-0.987078791752969,"3","3",-0.750065248414997,"1","4","2","2","1","4","1",0.128427936607552,"2","2","2","2","1","1","1"
"1","3",-0.489517441629654,"2","4",0.100877450169591,"4","2","3","2","1","2","4",-0.576252099647879,"2","2","1","3","1","1","1"
"1","3",1.74950863392526,"3","1",0.540165104726165,"1","4","4","2","1","4","4",1.8020430227142,"2","3","1","3","1","1","1"
"1","3",0.754385933678632,"3","3",-0.0900709738674997,"1","4","4","2","1","4","2",1.00927798192684,"2","2","1","3","1","1","1"
"1","3",1.25194728380195,"3","4",0.0934379011811333,"1","3","4","2","1","4","3",0.128427936607552,"2","2","2","3","1","2","1"
"1","3",1.25194728380195,"3","4",1.18421748858411,"1","4","4","2","1","4","3",-0.135827076988234,"2","2","2","4","1","2","1"
"1","3",0.256824583555318,"2","3",-0.671418587679868,"3","3","4","1","1","1","3",-0.664337104179808,"2","2","1","3","1","1","1"
"1","1",-0.489517441629654,"2","4",-0.549197425726628,"1","1","2","2","1","3","1",0.0403429320756234,"2","2","1","3","1","1","1"
"1","1",-1.23585946681463,"3","4",-0.85421893425341,"1","4","1","1","1","4","4",0.30459794567141,"2","2","2","3","1","2","1"
"1","3",-0.738298116691312,"3","4",-0.629261143411939,"1","4","4","2","1","1","1",0.216512941139481,"2","2","2","2","2","1","1"
"1","3",-0.738298116691312,"3","3",-0.47373914312941,"1","4","2","2","1","2","4",-0.840507113243665,"2","2","2","3","1","1","1"
"1","3",-0.240736766567997,"2","1",0.0378184158864704,"4","2","2","2","1","1","2",-0.400082090584021,"2","2","1","3","1","2","1"
"1","3",0.256824583555318,"3","1",0.211407892283826,"1","4","4","1","1","2","3",0.480767954735268,"2","1","2","4","1","2","1"
"1","3",-0.738298116691312,"3","3",-0.806038997947205,"4","3","4","1","1","4","1",-1.10476212683945,"2","2","2","3","1","1","1"
